ACADEMIC CALENDAR ( 2019 - 2020),,,,,,,
June  - 2019,,,,,,,
Date,Day,H/W,"Hr.sem
UG & PG",I UG,"I
Integrat ed",I PG,Specifications
1,Sat,H,H,H,H,H,Gitamritam
2,Sun,H,H,H,H,H,Gitamritam
3,Mon,W,,,,,Gitamritam
4,Tue,W,,,,,Gitamritam
5,Wed,H,H,H,H,H,Gitamritam / Ramzan
6,Thu,W,CD 1,,,,Enrollment of Higher semesters / Gitamritam
7,Fri,W,CD 2,,,,Gitamritam
8,Sat,W,CD 3,,,,Gitamritam / Monday Timetable
9,Sun,H,H,H,H,H,
10,Mon,W,CD 4,,,,
11,Tue,W,CD 5,,,,
12,Wed,W,CD 6,,,,
13,Thu,W,CD 7,,,,
14,Fri,W,CD 8,,,,
15,Sat,H,H,H,H,H,
16,Sun,H,H,H,H,H,
17,Mon,W,CD 9,,,,
18,Tue,W,CD 10,,,,
19,Wed,W,CD 11,,,,
20,Thu,W,CD 12,,,,
21,Fri,W,CD 13,,,,
22,Sat,W,CD 14,,,,Tuesday Timetable
23,Sun,H,H,H,H,H,
24,Mon,W,CD 15,,,,
25,Tue,W,CD 16,,,,
26,Wed,W,CD 17,,,,
27,Thu,W,CD 18,,,,
28,Fri,W,CD 19,,,,
29,Sat,W,CD 20,,,,Wednesday  Timetable
30,Sun,H,H,H,H,H,
July - 2019,,,,,,,
1,Mon,W,CD 21,,,,
2,Tue,W,CD 22,,,,
3,Wed,W,CD 23,,CD 1,,I semester  Integrated   Enrollment
4,Thu,W,CD 24,,CD 2,,
5,Fri,W,CD 25,,CD 3,,
6,Sat,H,H,H,H,H,
7,Sun,H,H,H,H,H,
8,Mon,W,CD 26,,CD 4,,Periodical I for Higher Semesters UG & PG
9,Tue,W,CD 27,,CD 5,,Periodical I for Higher Semesters UG & PG
10,Wed,W,CD 28,,CD 6,,Periodical I for Higher Semesters UG & PG
11,Thu,W,CD 29,,CD 7,,Periodical I for Higher Semesters UG & PG
12,Fri,W,CD 30,,CD 8,,Periodical I for Higher Semesters UG & PG
13,Sat,W,CD 31,,CD 9,,Periodical I for Higher Semesters UG & PG / Thursday Timetable
14,Sun,H,H,H,H,H,
15,Mon,W,CD 32,CD 1,CD 10,,I UG Enrollment / First year Orientation
16,Tue,W,CD 33,CD 2,CD 11,,First year Orientation / Gurupoornima
17,Wed,W,CD 34,CD 3,CD 12,,First year Orientation
18,Thu,W,CD 35,CD 4,CD 13,,First year Orientation
19,Fri,W,CD 36,CD 5,CD 14,,First year Orientation / Friday Timetable
20,Sat,H,H,H,H,H,First year Orientation
21,Sun,H,H,H,H,H,First year Orientation
22,Mon,W,CD 37,CD 6,CD 15,,
23,Tue,W,CD 38,CD 7,CD 16,,
24,Wed,W,CD 39,CD 8,CD 17,,
25,Thu,W,CD 40,CD 9,CD 18,,
26,Fri,W,CD 41,CD 10,CD 19,,
27,Sat,W,CD 42,CD 11,CD 20,,Talent search for first year / Monday Timetable
28,Sun,H,H,H,H,H,
29,Mon,W,CD 43,CD 12,CD 21,CD 1,I PG Enrollment
30,Tue,W,CD 44,CD 13,CD 22,CD 2,
31,Wed,W,CD 45,CD 14,CD 23,CD 3,
August - 2019,,,,,,,
1,Thu,W,CD 46,CD 15,CD 24,CD 4,
2,Fri,W,CD 47,CD 16,CD 25,CD 5,
3,Sat,H,H,H,H,H,
4,Sun,H,H,H,H,H,
5,Mon,W,CD 48,CD 17,CD 26,CD 6,
6,Tue,W,CD 49,CD 18,CD 27,CD 7,
7,Wed,W,CD 50,CD 19,CD 28,CD 8,
8,Thu,W,CD 51,CD 20,CD 29,CD 9,
9,Fri,W,CD 52,CD 21,CD 30,CD 10,
10,Sat,W,CD 53,CD 22,CD 31,CD 11,Tuesday Timetable
11,Sun,H,H,H,H,H,
12,Mon,H,H,H,H,H,Bakrid
13,Tue,W,CD 54,CD 23,CD 32,CD 12,Periodical II  for Higher Semesters UG & PG
14,Wed,W,CD 55,CD 24,CD 33,CD 13,Periodical II  for Higher Semesters  UG & PG
15,Thu,H,H,H,H,H,Independence day
16,Fri,W,CD 56,CD 25,CD 34,CD 14,Periodical II  for Higher Semesters  UG & PG
17,Sat,W,CD 57,CD 26,CD 35,CD 15,Periodical II  for Higher Semesters  UG & PG / Wednesday Timetable
18,Sun,H,H,H,H,H,
19,Mon,W,CD 58,CD 27,CD 36,CD 16,Periodical II  for Higher Semesters UG & PG
20,Tue,W,CD 59,CD 28,CD 37,CD 17,Periodical II  for Higher Semesters  UG & PG
21,Wed,W,CD 60,CD 29,CD 38,CD 18,
22,Thu,W,CD 61,CD 30,CD 39,CD 19,
23,Fri,W,,,,,Janmashtami
24,Sat,H,H,H,H,H,
25,Sun,H,H,H,H,H,
26,Mon,W,CD 62,CD 31,CD 40,CD 20,Periodical I  for I  Semester UG & PG
27,Tue,W,CD 63,CD 32,CD 41,CD 21,Periodical I  for I  Semester UG & PG
28,Wed,W,CD 64,CD 33,CD 42,CD 22,Periodical I  for I  Semester UG & PG
29,Thu,W,CD 65,CD 34,CD 43,CD 23,Periodical I  for I  Semester UG & PG
30,Fri,W,CD 66,CD 35,CD 44,CD 24,Periodical I  for I  Semester UG & PG
31,Sat,W,CD 67,CD 36,CD 45,CD 25,Periodical I  for I  Semester UG & PG / Thursday Timetable
September - 2019,,,,,,,
1,Sun,H,H,H,H,H,
2,Mon,H,H,H,H,H,Ganesh Chaturthi
3,Tue,W,CD 68,CD 37,CD 46,CD 26,
4,Wed,W,CD 69,CD 38,CD 47,CD 27,
5,Thu,W,CD 70,CD 39,CD 48,CD 28,
6,Fri,W,CD 71,CD 40,CD 49,CD 29,
7,Sat,W,CD 72,CD 41,CD 50,CD 30,Friday Timetable
8,Sun,H,H,H,H,H,
9,Mon,H,H,H,H,H,
10,Tue,H,H,H,H,H,Muharam
11,Wed,H,H,H,H,H,ONAM
12,Thu,W,CD 73,CD 42,CD 51,CD 31,Missed Periodical for Higher Semesters UG & PG
13,Fri,W,CD 74,CD 43,CD 52,CD 32,Missed Periodical for Higher Semesters UG & PG
14,Sat,W,CD 75,CD 44,CD 53,CD 33,Missed Periodical for Higher Semesters UG & PG / Monday Timetable
15,Sun,H,H,H,H,H,
16,Mon,W,CD 76,CD 45,CD 54,CD 34,Missed Periodical for Higher Semesters UG & PG
17,Tue,W,CD 77,CD 46,CD 55,CD 35,Missed Periodical for Higher Semesters UG & PG
18,Wed,W,CD 78,CD 47,CD 56,CD 36,Missed Periodical for Higher Semesters UG & PG
19,Thu,W,CD 79,CD 48,CD 57,CD 37,
20,Fri,W,CD 80,CD 49,CD 58,CD 38,
21,Sat,W,CD 81,CD 50,CD 59,CD 39,Tuesday Timetable
22,Sun,H,H,H,H,H,
23,Mon,W,CD 82,CD 51,CD 60,CD 40,
24,Tue,W,CD 83,CD 52,CD 61,CD 41,
25,Wed,W,CD 84,CD 53,CD 62,CD 42,
26,Thu,W,CD 85,CD 54,CD 63,CD 43,
27,Fri,W,,,,,Amma's Jayanthi
28,Sat,H,H,H,H,H,
29,Sun,H,H,H,H,H,
30,Mon,W,CD 86,CD 55,CD 64,CD 44,
October - 2019,,,,,,,
1,Tue,W,CD 87,CD 56,CD 65,CD 45,
2,Wed,H,H,H,H,H,Gandhi Jayanthi
3,Thu,W,CD 88,CD 57,CD 66,CD 46,
4,Fri,W,CD 89,CD 58,CD 67,CD 47,
5,Sat,W,CD 90,CD 59,CD 68,CD 48,Wednesday  Timetable / Last Instruction Day for Higher semesters
6,Sun,H,H,H,H,H,
7,Mon,H,H,H,H,H,Aayudhapooja
8,Tue,H,H,H,H,H,Vijayadasami
9,Wed,W,,CD 60,CD 69,CD 49,End Sem  for Higher Semesters UG & PG
10,Thu,W,,CD 61,CD 70,CD 50,End Sem  for Higher Semesters UG & PG
11,Fri,W,,CD 62,CD 71,CD 51,End Sem  for Higher Semesters UG & PG
12,Sat,W,,CD 63,CD 72,CD 52,"End Sem  for Higher Semesters UG & PG
/ Thursday Timetable"
13,Sun,H,H,H,H,H,
14,Mon,W,,CD 64,CD 73,CD 53,Periodical II  for I  Sem UG & PG / End Sem  for Higher Semesters UG & PG
15,Tue,W,,CD 65,CD 74,CD 54,Periodical II  for I  Sem UG & PG / End Sem  for Higher Semesters UG & PG
16,Wed,W,,CD 66,CD 75,CD 55,Periodical II  for I  Sem UG & PG / End Sem  for Higher Semesters UG & PG
17,Thu,W,,CD 67,CD 76,CD 56,Periodical II  for I  Sem UG & PG / End Sem  for Higher Semesters UG & PG
18,Fri,W,,CD 68,CD 77,CD 57,Periodical II  for I  Sem UG & PG / End Sem  for Higher Semesters UG & PG
19,Sat,W,,CD 69,CD 78,CD 58,"Periodical II  for I  Sem UG & PG / End
Sem  for Higher Semesters UG & PG Friday Timetable"
20,Sun,H,H,H,H,H,
21,Mon,W,,CD 70,CD 79,CD 59,End Sem  for Higher Semesters UG & PG
22,Tue,W,,CD 71,CD 80,CD 60,End Sem  for Higher Semesters UG & PG
23,Wed,W,,CD 72,CD 81,CD 61,End Sem  for Higher Semesters UG & PG
24,Thu,W,,CD 73,CD 82,CD 62,End Sem  for Higher Semesters UG & PG
25,Fri,W,,CD 74,CD 83,CD 63,End Sem  for Higher Semesters UG & PG
26,Sat,H,H,H,H,H,Deepavali Eve
27,Sun,H,H,H,H,H,Deepavali
28,Mon,W,CD 1,CD 75,CD 84,CD 64,Enrollment of Higher Semester  UG & PG
29,Tue,W,CD 2,CD 76,CD 85,CD 65,National Science Olympiad 2019
30,Wed,W,CD 3,CD 77,CD 86,CD 66,National Science Olympiad 2019
31,Thu,W,CD 4,CD 78,CD 87,CD 67,National Science Olympiad 2019
November - 2019,,,,,,,
1,Fri,W,CD 5,CD 79,CD 88,CD 68,Missed Periodical for I Semester  UG & I PG
2,Sat,W,CD 6,CD 80,CD 89,CD 69,Missed Periodical for I Semester  UG & I PG / Monday Timetable
3,Sun,H,H,H,H,H,
4,Mon,W,CD 7,CD 81,CD 90,CD 70,Missed Periodical for I Semester  UG & I PG
5,Tue,W,CD 8,CD 82,,CD 71,Missed Periodical for I Semester  UG & I PG
6,Wed,W,CD 9,CD 83,,CD 72,Missed Periodical for I Semester  UG & I PG
7,Thu,W,CD 10,CD 84,,CD 73,
8,Fri,W,CD 11,CD 85,,CD 74,
9,Sat,H,H,H,H,H,
10,Sun,H,H,H,H,H,Miladi Nabi
11,Mon,W,CD 12,CD 86,,CD 75,
12,Tue,W,CD 13,CD 87,,CD 76,
13,Wed,W,CD 14,CD 88,,CD 77,
14,Thu,W,CD 15,CD 89,,CD 78,
15,Fri,W,CD 16,CD 90,,CD 79,Last Instruction Day First year
16,Sat,W,CD 17,,,CD 80,Tuesday Timetable
17,Sun,H,H,H,H,H,
18,Mon,W,CD 18,,,CD 81,End Sem  for I UG
19,Tue,W,CD 19,,,CD 82,End Sem  for I UG
20,Wed,W,CD 20,,,CD 83,End Sem  for I UG
21,Thu,W,CD 21,,,CD 84,End Sem  for I UG
22,Fri,W,CD 22,,,CD 85,End Sem  for I UG
23,Sat,H,H,H,H,H,
24,Sun,H,H,H,H,H,
25,Mon,W,CD 23,,,CD 86,End Sem  for I UG & PG
26,Tue,W,CD 24,,,CD 87,End Sem  for I UG & PG
27,Wed,W,CD 25,,,CD 88,End Sem  for I UG & PG
28,Thu,W,CD 26,,,CD 89,End Sem  for I UG & PG
29,Fri,W,CD 27,,,CD 90,End Sem  for I UG & PG
30,Sat,W,CD 28,,,,End Sem  for I UG & PG / Wednesday Timetable
December - 2019,,,,,,,
1,Sun,H,H,H,H,H,
2,Mon,W,CD 29,,,,End Sem  for I UG & PG / Periodical I for Higher Semesters UG & PG
3,Tue,W,CD 30,,,,Periodical I for Higher Semesters UG & PG
4,Wed,W,CD 31,CD 1,CD 1,CD 1,Periodical I for Higher Semesters UG & PG  / Enrollment of  I UG & PG
5,Thu,W,CD 32,CD 2,CD 2,CD 2,Periodical I for Higher Semesters UG & PG
6,Fri,W,CD 33,CD 3,CD 3,CD 3,Periodical I for Higher Semesters UG & PG
7,Sat,W,CD 34,CD 4,CD 4,CD 4,Periodical I for Higher Semesters UG & PG / Thursday Timetable
8,Sun,H,H,H,H,H,
9,Mon,W,CD 35,CD 5,CD 5,CD 5,
10,Tue,W,CD 36,CD 6,CD 6,CD 6,
11,Wed,W,CD 37,CD 7,CD 7,CD 7,
12,Thu,W,CD 38,CD 8,CD 8,CD 8,
13,Fri,W,CD 39,CD 9,CD 9,CD 9,
14,Sat,H,H,H,H,H,
15,Sun,H,H,H,H,H,
16,Mon,W,CD 40,CD 10,CD 10,CD 10,
17,Tue,W,CD 41,CD 11,CD 11,CD 11,
18,Wed,W,CD 42,CD 12,CD 12,CD 12,
19,Thu,W,CD 43,CD 13,CD 13,CD 13,
20,Fri,W,CD 44,CD 14,CD 14,CD 14,
21,Sat,W,CD 45,CD 15,CD 15,CD 15,Friday Timetable
22,Sun,H,H,H,H,H,
23,Mon,W,CD 46,CD 16,CD 16,CD 16,
24,Tue,W,CD 47,CD 17,CD 17,CD 17,
25,Wed,H,H,H,H,H,Christmas
26,Thu,W,CD 48,CD 18,CD 18,CD 18,
27,Fri,W,CD 49,CD 19,CD 19,CD 19,
28,Sat,W,CD 50,CD 20,CD 20,CD 20,Monday Timetable
29,Sun,H,H,H,H,H,
30,Mon,V,,,,,
31,Tue,V,,,,,
January - 2020,,,,,,,
1,Wed,V,H,H,H,H,
2,Thu,V,,,,,
3,Fri,V,,,,,
4,Sat,V,H,H,H,H,
5,Sun,V,H,H,H,H,
6,Mon,V,,,,,
7,Tue,V,,,,,
8,Wed,V,,,,,
9,Thu,V,,,,,
10,Fri,V,,,,,
11,Sat,V,H,H,H,H,
12,Sun,V,H,H,H,H,
13,Mon,V,,,,,
14,Tue,V,,,,,
15,Wed,H,H,H,H,H,Pongal
16,Thu,H,H,H,H,H,Thiruvalluvar day
17,Fri,H,H,H,H,H,Uzhavar Thirunal
18,Sat,H,H,H,H,H,
19,Sun,H,H,H,H,H,
20,Mon,W,CD 51,CD 21,CD 21,CD 21,
21,Tue,W,CD 52,CD 22,CD 22,CD 22,
22,Wed,W,CD 53,CD 23,CD 23,CD 23,
23,Thu,W,CD 54,CD 24,CD 24,CD 24,
24,Fri,W,CD 55,CD 25,CD 25,CD 25,
25,Sat,H,H,H,H,H,
26,Sun,H,H,H,H,H,Republic Day
27,Mon,W,CD 56,CD 26,CD 26,CD 26,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters
28,Tue,W,CD 57,CD 27,CD 27,CD 27,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters
29,Wed,W,CD 58,CD 28,CD 28,CD 28,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters
30,Thu,W,CD 59,CD 29,CD 29,CD 29,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters
31,Fri,W,CD 60,CD 30,CD 30,CD 30,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters
February - 2020,,,,,,,
1,Sat,H,CD 61,CD 31,CD 31,CD 31,Periodical 1 for II Sem UG& PG / Periodical II for higher Semesters Tuesday Timetable
2,Sun,H,H,H,H,H,
3,Mon,W,CD 62,CD 32,CD 32,CD 32,
4,Tue,W,CD 63,CD 33,CD 33,CD 33,
5,Wed,W,CD 64,CD 34,CD 34,CD 34,
6,Thu,W,CD 65,CD 35,CD 35,CD 35,
7,Fri,W,CD 66,CD 36,CD 36,CD 36,
8,Sat,H,H,H,H,H,
9,Sun,H,H,H,H,H,
10,Mon,W,CD 67,CD 37,CD 37,CD 37,
11,Tue,W,CD 68,CD 38,CD 38,CD 38,
12,Wed,W,CD 69,CD 39,CD 39,CD 39,
13,Thu,W,CD 70,CD 40,CD 40,CD 40,
14,Fri,W,CD 71,CD 41,CD 41,CD 41,
15,Sat,H,H,H,H,H,
16,Sun,H,H,H,H,H,
17,Mon,W,CD 72,CD 42,CD 42,CD 42,Missed Periodical for Higher semesters UG & PG
18,Tue,W,CD 73,CD 43,CD 43,CD 43,Missed Periodical for Higher semesters UG & PG
19,Wed,W,CD 74,CD 44,CD 44,CD 44,Missed Periodical for Higher semesters UG & PG
20,Thu,W,CD 75,CD 45,CD 45,CD 45,Missed Periodical for Higher semesters UG & PG
21,Fri,W,CD 76,CD 46,CD 46,CD 46,Missed Periodical for Higher semesters UG & PG
22,Sat,W,CD 77,CD 47,CD 47,CD 47,Wednesday  Timetable
23,Sun,H,H,H,H,H,
24,Mon,W,CD 78,CD 48,CD 48,CD 48,
25,Tue,W,CD 79,CD 49,CD 49,CD 49,
26,Wed,W,CD 80,CD 50,CD 50,CD 50,
27,Thu,W,CD 81,CD 51,CD 51,CD 51,
28,Fri,W,CD 82,CD 52,CD 52,CD 52,
29,Sat,W,CD 83,CD 53,CD 53,CD 53,Thursday Timetable
March - 2020,,,,,,,
1,Sun,H,H,H,H,H,
2,Mon,W,CD 84,CD 54,CD 54,CD 54,
3,Tue,W,CD 85,CD 55,CD 55,CD 55,
4,Wed,W,CD 86,CD 56,CD 56,CD 56,
5,Thu,W,CD 87,CD 57,CD 57,CD 57,
6,Fri,W,CD 88,CD 58,CD 58,CD 58,
7,Sat,H,H,H,H,H,
8,Sun,H,H,H,H,H,
9,Mon,W,CD 89,CD 59,CD 59,CD 59,Periodical II for II  Sem UG& PG
10,Tue,W,CD 90,CD 60,CD 60,CD 60,Last Instruction Day / Periodical II for II Sem UG& PG
11,Wed,W,,CD 61,CD 61,CD 61,End Sem for higher semesters UG & PG  / Periodical II for II Sem UG& PG
12,Thu,W,,CD 62,CD 62,CD 62,End Sem for higher semesters UG & PG  / Periodical II for II Sem UG& PG
13,Fri,W,,CD 63,CD 63,CD 63,End Sem for higher semesters UG & PG  / Periodical II for II Sem UG& PG
14,Sat,W,,CD 64,CD 64,CD 64,"End Sem for higher semesters UG & PG  / Periodical II for II Sem UG& PG
Monday Timetable"
15,Sun,H,H,H,H,H,
16,Mon,W,,CD 65,CD 65,CD 65,End Sem for higher semesters UG & PG
17,Tue,W,,CD 66,CD 66,CD 66,End Sem for higher semesters UG & PG
18,Wed,W,,CD 67,CD 67,CD 67,End Sem for higher semesters UG & PG
19,Thu,W,,CD 68,CD 68,CD 68,End Sem for higher semesters UG & PG
20,Fri,W,,CD 69,CD 69,CD 69,End Sem for higher semesters UG & PG
21,Sat,H,H,H,H,H,
22,Sun,H,H,H,H,H,
23,Mon,W,,CD 70,CD 70,CD 70,End Sem for higher semesters UG & PG
24,Tue,W,,CD 71,CD 71,CD 71,End Sem for higher semesters UG & PG
25,Wed,H,H,H,H,H,Ugadi
26,Thu,W,,CD 72,CD 72,CD 72,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
27,Fri,W,,CD 73,CD 73,CD 73,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
28,Sat,W,,CD 74,CD 74,CD 74,"End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
Tuesday Timetable"
29,Sun,H,H,H,H,H,
30,Mon,W,,CD 75,CD 75,CD 75,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
31,Tue,W,,CD 76,CD 76,CD 76,End Sem for higher semesters UG & PG / Missed Periodical for II Sem UG & PG
April - 2020,,,,,,,
1,Wed,W,,CD 77,CD 77,CD 77,
2,Thu,W,,CD 78,CD 78,CD 78,
3,Fri,W,,CD 79,CD 79,CD 79,
4,Sat,W,,CD 80,CD 80,CD 80,Wednesday  Timetable
5,Sun,H,H,H,H,H,
6,Mon,W,,CD 81,CD 81,CD 81,
7,Tue,W,,CD 82,CD 82,CD 82,
8,Wed,W,,CD 83,CD 83,CD 83,
